# Generated at 2024-10-15 11:16:11 (04:00) by AQUARIUS Time-Series 24.1.177.0,,,,,
# UTC-05,,,,,
# Period Selected: Entire Record,,,,,
#,,,,,
# Comment: ,,,,,
# Description: ,,,,,
# ReportTitle: LCCD Little Conestoga Sonde Data May 2023 - July 2024,,,,,
#,,,,,
# CSV data starts at line 12,,,,,
#,,,,,
TimeStamp,Dissolved Oxygen (mg/l),Water Temperature (C),Specific Conductivity (uS/cm),pH,Total Dissolved Solids (mg/l)
5/3/2023 21:34,11.22,12.887,742,8.21,482
5/3/2023 21:49,11.14,12.866,742.4,8.21,483
5/3/2023 22:04,11.05,12.853,741.7,8.21,482
5/3/2023 22:19,10.94,12.835,742.1,8.2,482
5/3/2023 22:34,10.82,12.818,742.6,8.2,483
5/3/2023 22:49,10.7,12.804,742.8,8.19,483
5/3/2023 23:04,10.59,12.796,742.7,8.19,483
5/3/2023 23:19,10.47,12.776,742.8,8.18,483
5/3/2023 23:34,10.34,12.744,742.1,8.18,482
5/3/2023 23:49,10.22,12.715,741.5,8.17,482
5/4/2023 0:04,10.09,12.667,742,8.17,482
5/4/2023 0:19,9.96,12.61,742.4,8.16,483
5/4/2023 0:34,9.83,12.567,742.7,8.15,483
5/4/2023 0:49,9.71,12.532,742.6,8.14,483
5/4/2023 1:04,9.61,12.501,742.7,8.13,483
5/4/2023 1:19,9.51,12.479,741.5,8.13,482
5/4/2023 1:34,9.43,12.462,741,8.12,482
5/4/2023 1:49,9.35,12.451,740.2,8.12,481
5/4/2023 2:04,9.28,12.438,740.2,8.11,481
5/4/2023 2:19,9.22,12.434,739.4,8.11,481
5/4/2023 2:34,9.17,12.425,739,8.1,480
5/4/2023 2:49,9.11,12.418,739.1,8.1,480
5/4/2023 3:04,9.06,12.402,739.5,8.09,481
5/4/2023 3:19,9.01,12.389,740.5,8.09,481
5/4/2023 3:34,8.96,12.364,743.5,8.08,483
5/4/2023 3:49,8.92,12.334,746.4,8.07,485
5/4/2023 4:04,8.88,12.3,749.5,8.07,487
5/4/2023 4:19,8.85,12.253,752.2,8.06,489
5/4/2023 4:34,8.83,12.209,753.9,8.06,490
5/4/2023 4:49,8.82,12.153,755.3,8.05,491
5/4/2023 5:04,8.81,12.1,755.2,8.05,491
5/4/2023 5:19,8.8,12.04,755.6,8.05,491
5/4/2023 5:34,8.8,11.971,755.4,8.04,491
5/4/2023 5:49,8.79,11.898,755.4,8.04,491
5/4/2023 6:04,8.8,11.834,754,8.04,490
5/4/2023 6:19,8.8,11.767,754.5,8.03,490
5/4/2023 6:34,8.8,11.694,754.1,8.03,490
5/4/2023 6:49,8.81,11.625,755.1,8.03,491
5/4/2023 7:04,8.81,11.558,755.1,8.03,491
5/4/2023 7:19,8.81,11.487,755.3,8.02,491
5/4/2023 7:34,8.83,11.406,755,8.02,491
5/4/2023 7:49,8.85,11.325,753.3,8.02,490
5/4/2023 8:04,8.87,11.244,752.8,8.02,489
5/4/2023 8:19,8.88,11.168,752.6,8.02,489
5/4/2023 8:34,8.9,11.098,752.4,8.02,489
5/4/2023 8:49,8.91,11.034,752.8,8.01,489
5/4/2023 9:04,8.93,10.966,752.6,8.01,489
5/4/2023 9:19,8.95,10.896,752.7,8.01,489
5/4/2023 9:34,8.97,10.828,752.6,8.01,489
5/4/2023 9:49,8.98,10.764,752.7,8.01,489
5/4/2023 10:04,9,10.705,752.5,8.01,489
5/4/2023 10:19,9.02,10.652,752.8,8.01,489
5/4/2023 10:34,9.05,10.598,752.7,8.01,489
5/4/2023 10:49,9.1,10.545,751,8.02,488
5/4/2023 11:04,9.15,10.506,751,8.02,488
5/4/2023 11:19,9.22,10.485,750.3,8.02,488
5/4/2023 11:34,9.29,10.468,751,8.02,488
5/4/2023 11:49,9.36,10.461,751.7,8.03,489
5/4/2023 12:04,9.44,10.462,752,8.03,489
5/4/2023 12:19,9.53,10.479,752.6,8.03,489
5/4/2023 12:34,9.62,10.506,752.5,8.04,489
5/4/2023 12:49,9.72,10.54,752.1,8.04,489
5/4/2023 13:04,9.83,10.607,752.6,8.05,489
5/4/2023 13:19,9.94,10.662,752.1,8.06,489
